cell_index,cell_id,provider,model_id,dataset,split,n_examples_target,seed_set,experiment_systems,artifact_namespace
36,CELL_36_grok-4.6_toolbench,xai,grok-4.6,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/toolbench
37,CELL_37_grok-4.6_fever,xai,grok-4.6,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/fever
38,CELL_38_grok-4.6_pubmedqa,xai,grok-4.6,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/pubmedqa
39,CELL_39_grok-4.6_weblinx,xai,grok-4.6,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/weblinx
40,CELL_40_grok-4.6_adversarial_integrity,xai,grok-4.6,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/grok-4.6/adversarial_integrity
41,CELL_41_mistral-medium-3-5_hotpotqa,mistral,mistral-medium-3-5,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/hotpotqa
42,CELL_42_mistral-medium-3-5_twowiki,mistral,mistral-medium-3-5,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/twowiki
43,CELL_43_mistral-medium-3-5_tatqa,mistral,mistral-medium-3-5,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/tatqa
44,CELL_44_mistral-medium-3-5_toolbench,mistral,mistral-medium-3-5,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/toolbench
45,CELL_45_mistral-medium-3-5_fever,mistral,mistral-medium-3-5,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/fever
46,CELL_46_mistral-medium-3-5_pubmedqa,mistral,mistral-medium-3-5,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/pubmedqa
47,CELL_47_mistral-medium-3-5_weblinx,mistral,mistral-medium-3-5,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/weblinx
48,CELL_48_mistral-medium-3-5_adversarial_integrity,mistral,mistral-medium-3-5,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/mistral-medium-3-5/adversarial_integrity
49,CELL_49_command-a-plus-05-2026_hotpotqa,cohere,command-a-plus-05-2026,hotpotqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/hotpotqa
50,CELL_50_command-a-plus-05-2026_twowiki,cohere,command-a-plus-05-2026,twowiki,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/twowiki
51,CELL_51_command-a-plus-05-2026_tatqa,cohere,command-a-plus-05-2026,tatqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/tatqa
52,CELL_52_command-a-plus-05-2026_toolbench,cohere,command-a-plus-05-2026,toolbench,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/toolbench
53,CELL_53_command-a-plus-05-2026_fever,cohere,command-a-plus-05-2026,fever,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/fever
54,CELL_54_command-a-plus-05-2026_pubmedqa,cohere,command-a-plus-05-2026,pubmedqa,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/pubmedqa
55,CELL_55_command-a-plus-05-2026_weblinx,cohere,command-a-plus-05-2026,weblinx,validation,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/weblinx
56,CELL_56_command-a-plus-05-2026_adversarial_integrity,cohere,command-a-plus-05-2026,adversarial_integrity,test,PENDING_SAMPLE_SIZE_FREEZE,"0,1,2,3",nocert;citation_only;shieldagent;agentrr;pcg_mas,v3_0/56cell/command-a-plus-05-2026/adversarial_integrity
